latitude,longitude,gpstime,gpsdate,cellId
39.975368,116.333655,21:55:34,2008-01-31,(182;257)
39.966522,116.343536,06:50:00,2008-11-04,(193;269)
39.967377,116.345064,19:12:31,2008-05-01,(192;271)
39.975533,116.394568,20:25:41,2008-06-22,(182;334)
39.986792,116.381567,22:34:02,2008-10-02,(168;317)
39.983697,116.303035,22:15:00,2008-05-20,(172;218)
39.984973,116.352529,00:44:57,2008-05-26,(170;280)
39.981515,116.355615,17:29:00,2008-05-31,(174;284)
39.981423,116.327031,19:12:41,2008-06-20,(174;248)
39.984852,116.308361,00:08:03,2008-06-22,(170;225)
39.984596,116.310174,20:48:23,2008-06-25,(170;227)
39.985456,116.352572,05:22:05,2008-07-10,(169;281)
40.002547,116.411119,12:39:31,2008-07-11,(148;354)
39.985204,116.350747,18:47:08,2008-07-15,(170;278)
39.982034,116.327142,20:11:06,2008-07-17,(174;248)
39.983201,116.32692,00:25:01,2008-07-20,(172;248)
39.993982,116.441859,15:49:41,2008-07-21,(159;393)
39.976025,116.459294,20:32:16,2008-07-21,(181;415)
39.9848,116.307086,13:01:45,2008-07-24,(170;223)
39.914391,116.4106,15:12:24,2008-07-25,(259;354)
39.985464,116.351348,23:02:07,2008-07-03,(169;279)
39.985247,116.327153,21:09:37,2008-07-09,(170;248)
39.987098,116.360358,22:32:47,2008-07-09,(167;290)
39.985323,116.348105,23:44:07,2008-07-09,(170;275)
39.983856,116.307385,02:54:47,2008-07-10,(171;223)
39.974983,116.332433,15:49:15,2007-10-13,(183;255)
39.975383,116.3309,19:49:17,2007-10-17,(182;253)
39.9654,116.340967,22:10:55,2007-10-17,(195;266)
39.9748,116.33115,13:24:41,2007-10-19,(183;253)
39.992333,116.197933,19:23:59,2007-10-19,(161;85)
39.97143,116.325107,20:40:46,2008-05-24,(187;246)
39.955185,116.316962,04:47:05,2008-05-25,(208;236)
39.975298,116.329943,19:59:47,2008-04-30,(182;252)
39.975648,116.331027,19:21:37,2008-05-17,(182;253)
39.972347,116.325285,13:19:10,2008-05-18,(186;246)
39.975078,116.331804,13:10:36,2008-08-01,(182;254)
39.868761,116.509127,14:42:24,2008-10-13,(317;478)
39.868314,116.537318,14:59:46,2008-10-13,(317;514)
39.905802,116.267446,10:11:50,2008-10-16,(270;173)
39.882304,116.269494,10:31:00,2008-10-16,(300;176)
39.932302,116.454149,14:34:11,2008-10-11,(237;409)
39.902637,116.267412,14:21:45,2008-11-28,(274;173)
39.932403,116.429843,15:19:54,2008-07-22,(236;378)
39.898039,116.339781,16:40:00,2008-09-25,(280;264)
39.863378,116.41532,09:04:01,2008-08-21,(324;360)
39.974003,116.348363,14:14:58,2008-09-13,(184;275)
39.918724,116.268671,15:38:36,2008-05-17,(254;175)
39.983161,116.330763,09:37:36,2008-10-25,(172;253)
39.885238,116.41375,13:14:30,2008-12-02,(296;358)
39.924474,116.418501,14:51:05,2008-12-02,(246;364)
39.97514,116.329704,20:00:59,2009-08-26,(182;252)
39.909876,116.302844,10:56:48,2009-07-31,(265;218)
39.975674,116.33918,19:43:34,2009-09-09,(182;264)
39.976214,116.32991,19:42:22,2009-09-16,(181;252)
39.975126,116.328976,19:41:33,2009-09-23,(182;251)
39.932212,116.427528,15:20:28,2008-07-22,(237;375)
39.93936,116.430355,09:01:05,2007-12-14,(228;379)
39.975585,116.330753,12:16:07,2007-12-25,(182;253)
39.970176,116.418262,22:38:48,2008-07-31,(189;363)
39.994484,116.32649,16:48:29,2008-08-02,(158;248)
39.976041,116.418097,23:32:53,2008-08-02,(181;363)
39.974449,116.346825,13:03:30,2008-10-11,(183;273)
39.984322,116.326643,22:33:12,2008-05-28,(171;248)
39.967993,116.34722,23:11:01,2008-07-18,(191;274)
39.97861,116.418505,16:11:34,2008-05-03,(178;364)
39.975542,116.330858,13:30:51,2008-05-16,(182;253)
39.988278,116.196903,17:24:43,2008-05-16,(166;84)
39.9247,116.304608,21:14:58,2008-07-07,(246;220)
39.984268,116.327067,21:49:39,2008-09-08,(171;248)
39.975288,116.328357,13:13:44,2008-09-22,(182;250)
39.854958,116.39364,09:56:08,2008-09-30,(334;332)
39.985943,116.362082,22:14:07,2008-10-09,(169;293)
39.984373,116.32871,22:52:12,2008-10-20,(171;250)
39.975217,116.330383,12:51:19,2008-11-05,(182;253)
39.97632,116.33093,22:04:39,2008-11-05,(181;253)
39.979583,116.327487,20:28:15,2008-11-30,(177;249)
39.977723,116.327283,22:34:53,2008-12-03,(179;249)
39.985662,116.348992,23:32:48,2008-12-04,(169;276)
39.985888,116.366807,22:01:24,2009-02-21,(169;299)
40.079555,116.35332,08:01:16,2009-02-22,(51;281)
39.961827,116.303698,16:20:38,2009-03-18,(199;219)
39.96963,116.3325,15:00:15,2009-03-19,(189;255)
39.948038,116.4197,10:49:31,2009-03-24,(217;365)
39.982088,116.32756,22:35:35,2009-04-02,(174;249)
39.966065,116.344287,20:35:55,2008-10-01,(194;270)
39.926794,116.472156,16:44:10,2008-10-05,(243;432)
39.93233,116.473376,14:03:30,2008-10-12,(236;433)
39.92719,116.472133,22:50:27,2008-10-12,(243;432)
39.975595,116.330584,22:39:57,2008-10-17,(182;253)
39.975531,116.330539,22:04:44,2008-09-27,(182;253)
39.975392,116.330592,22:16:01,2008-09-29,(182;253)
39.92726,116.472255,10:45:33,2008-10-01,(243;432)
39.927392,116.472095,21:31:58,2008-10-26,(243;431)
39.975549,116.330646,21:41:11,2008-10-28,(182;253)
39.930641,116.470539,06:50:00,2008-11-04,(239;429)
39.908674,116.36769,21:49:19,2008-11-24,(266;300)
39.966168,116.358797,19:26:17,2008-10-25,(194;288)
39.975657,116.330768,21:41:11,2008-10-28,(182;253)
39.908859,116.368302,21:49:19,2008-11-24,(266;300)
39.975227,116.331071,21:17:26,2008-11-25,(182;253)
39.927177,116.472122,17:14:05,2008-11-29,(243;431)
39.97485,116.339744,16:23:34,2008-12-05,(183;264)
39.907927,116.471865,20:58:01,2008-12-05,(267;431)
39.960746,116.49038,10:16:31,2008-12-06,(201;455)
39.976316,116.330728,17:04:17,2008-08-08,(181;253)
39.975626,116.331007,21:04:28,2008-08-15,(182;253)
39.877173,116.483151,15:24:20,2008-08-17,(306;445)
39.966045,116.344309,21:27:38,2008-08-20,(194;270)
39.9086,116.471707,08:02:28,2008-08-28,(266;431)
39.927283,116.472229,10:31:47,2008-08-31,(243;432)
39.975134,116.32947,21:51:27,2008-08-31,(182;251)
39.914687,116.465027,12:27:53,2009-02-14,(259;423)
39.947789,116.466159,16:28:33,2009-02-15,(217;424)
39.937381,116.455091,12:19:57,2009-04-06,(230;410)
39.926992,116.472009,09:35:09,2009-07-11,(243;431)
39.990622,116.450868,20:05:59,2009-07-14,(163;405)
39.988868,116.445166,16:59:02,2009-08-20,(165;397)
39.932388,116.478808,08:36:04,2009-08-22,(236;440)
39.985193,116.450726,13:11:43,2009-08-22,(170;404)
39.927209,116.472273,08:56:52,2009-08-23,(243;432)
39.9855,116.450179,10:22:09,2009-08-23,(169;404)
39.985384,116.450757,17:44:00,2009-08-23,(169;405)
39.947712,116.388949,23:21:52,2009-08-28,(217;326)
39.927176,116.472596,10:20:28,2009-08-29,(243;432)
39.987401,116.431294,14:50:53,2009-08-29,(167;380)
39.927063,116.471967,09:32:18,2009-08-30,(243;431)
39.975305,116.329298,18:38:52,2009-08-30,(182;251)
39.917432,116.444487,19:02:45,2009-06-20,(255;397)
39.932469,116.469509,11:00:11,2009-06-21,(236;428)
39.932311,116.44912,16:53:22,2009-06-21,(236;402)
39.895305,116.31659,16:16:46,2008-05-09,(283;235)
39.932213,116.474152,15:19:24,2008-05-10,(237;434)
39.907365,116.471703,08:55:20,2008-05-12,(268;431)
39.910058,116.471742,09:00:04,2008-05-13,(265;431)
39.953943,116.461897,22:24:42,2008-05-13,(209;419)
39.927307,116.472213,08:46:23,2008-05-14,(243;432)
39.953208,116.46192,22:21:31,2008-05-14,(210;419)
39.910468,116.471832,09:01:37,2008-05-15,(264;431)
39.950458,116.462198,21:27:37,2008-05-15,(214;419)
39.929447,116.472088,08:58:11,2008-05-16,(240;431)
39.975782,116.331173,18:55:39,2008-05-17,(182;254)
39.975428,116.33051,15:28:58,2008-05-24,(182;253)
39.932548,116.461347,13:48:14,2008-06-01,(236;418)
39.931063,116.472437,16:49:16,2008-06-08,(238;432)
39.991843,116.462408,15:41:48,2008-06-15,(161;419)
39.927878,116.471957,18:34:50,2008-06-18,(242;431)
39.975293,116.331078,21:51:10,2008-06-19,(182;253)
39.927343,116.472273,09:31:37,2008-06-22,(243;432)
39.96629,116.343662,21:30:49,2008-06-22,(194;269)
39.90879,116.411595,21:04:30,2008-06-24,(266;355)
39.966482,116.34424,10:13:55,2008-06-28,(193;270)
39.966192,116.338783,21:57:54,2008-06-28,(194;263)
39.927123,116.47219,16:51:46,2008-05-17,(243;432)
39.975296,116.330291,20:51:22,2008-07-12,(182;252)
39.975247,116.330842,21:02:25,2008-07-13,(182;253)
39.975557,116.330865,22:46:50,2008-07-19,(182;253)
39.966163,116.34434,21:59:21,2008-07-23,(194;270)
39.9034,116.421517,07:05:47,2007-07-29,(273;368)
39.974317,116.327567,22:48:55,2007-04-13,(183;249)
39.975217,116.3278,23:09:11,2007-04-19,(182;249)
39.978339,116.418199,16:11:34,2008-05-03,(178;363)
39.974695,116.333347,12:13:32,2008-05-05,(183;256)
39.952634,116.31792,13:33:20,2008-05-05,(211;237)
39.975517,116.327379,22:34:04,2008-05-18,(182;249)
39.968953,116.418695,23:41:52,2008-05-22,(190;364)
39.929372,116.361553,07:36:03,2008-06-07,(240;292)
39.967889,116.418693,23:50:51,2008-06-09,(192;364)
39.986604,116.382935,00:00:00,2008-06-10,(168;319)
39.995385,116.326429,08:26:29,2008-06-12,(157;248)
39.987064,116.407571,07:53:41,2008-06-20,(167;350)
39.983435,116.328161,08:32:53,2008-06-25,(172;250)
39.991295,116.327246,12:48:17,2008-06-25,(162;249)
39.985209,116.327149,22:06:57,2008-06-25,(170;248)
39.967859,116.418415,22:30:56,2008-07-25,(192;364)
39.97032,116.418508,22:38:52,2008-07-31,(188;364)
39.994484,116.32649,16:48:29,2008-08-02,(158;248)
39.976041,116.418097,23:32:53,2008-08-02,(181;363)
39.915036,116.444191,20:45:31,2008-08-20,(258;396)
39.946388,116.467417,23:15:39,2008-08-20,(219;426)
39.981165,116.307359,23:24:02,2008-08-25,(175;223)
39.975175,116.347036,11:56:31,2008-08-31,(182;274)
39.97577,116.330717,11:54:38,2008-09-19,(182;253)
39.974449,116.346825,13:03:30,2008-10-11,(183;273)
39.971149,116.418578,22:57:43,2008-11-26,(187;364)
39.97525,116.330196,16:45:23,2009-05-16,(182;252)
39.960583,116.412085,14:21:54,2009-05-18,(201;356)
39.971326,116.421731,22:59:30,2009-05-18,(187;368)
39.966525,116.351446,22:26:09,2009-05-23,(193;279)
39.969592,116.420915,22:57:56,2008-05-12,(189;367)
40.083636,116.320935,17:11:06,2008-11-07,(45;241)
