directory,latitude,longitude,gpstime,gpsdate,starttime
001,39.9753683333333,116.333655,21:55:34,2008-01-31,21:55:34
001,39.9665217166667,116.34353595,06:50:00,2008-11-04,06:50:00
001,39.967377,116.345064,19:12:31,2008-05-01,19:12:31
001,39.9755333,116.3945683,20:25:41,2008-06-22,20:25:41
001,36.706746,114.47908,21:13:14,2008-05-04,21:13:14
001,37.5792,126.991168,20:45:25,2008-05-07,20:45:25
002,43.898457,125.318412,21:06:37,2008-10-10,21:06:37
002,39.986792,116.381567,22:34:02,2008-10-02,22:34:02
002,43.898457,125.318412,21:06:37,2008-10-10,21:06:37
002,39.983697,116.303035,22:15:00,2008-05-20,22:15:00
002,39.984973,116.352529,00:44:57,2008-05-26,00:44:57
002,39.981515,116.355615,17:29:00,2008-05-31,17:29:00
002,39.981423,116.327031,19:12:41,2008-06-20,19:12:41
002,39.984852,116.308361,00:08:03,2008-06-22,00:08:03
002,39.984596,116.310174,20:48:23,2008-06-25,20:48:23
002,36.051469,103.85456,11:08:36,2008-06-27,11:08:36
002,39.985456,116.352572,05:22:05,2008-07-10,05:22:05
002,40.002547,116.411119,12:39:31,2008-07-11,12:39:31
002,39.985204,116.350747,18:47:08,2008-07-15,18:47:08
002,39.982034,116.327142,20:11:06,2008-07-17,20:11:06
002,39.983201,116.32692,00:25:01,2008-07-20,00:25:01
002,39.993982,116.441859,15:49:41,2008-07-21,15:49:41
002,39.976025,116.459294,20:32:16,2008-07-21,20:32:16
002,39.9848,116.307086,13:01:45,2008-07-24,13:01:45
002,39.914391,116.4106,15:12:24,2008-07-25,15:12:24
002,39.985464,116.351348,23:02:07,2008-07-03,23:02:07
002,39.985247,116.327153,21:09:37,2008-07-09,21:09:37
002,39.987098,116.360358,22:32:47,2008-07-09,22:32:47
002,39.985323,116.348105,23:44:07,2008-07-09,23:44:07
002,39.983856,116.307385,02:54:47,2008-07-10,02:54:47
004,39.9749833333333,116.332433333333,15:49:15,2007-10-13,15:49:15
004,39.9753833333333,116.3309,19:49:17,2007-10-17,19:49:17
004,39.9654,116.340966666667,22:10:55,2007-10-17,22:10:55
004,39.9748,116.33115,13:24:41,2007-10-19,13:24:41
004,39.9923333333333,116.197933333333,19:23:59,2007-10-19,19:23:59
009,39.9714299,116.3251066,20:40:46,2008-05-24,20:40:46
009,39.9551849,116.3169616,04:47:05,2008-05-25,04:47:05
009,39.9752983,116.3299433,19:59:47,2008-04-30,19:59:47
009,39.9756483,116.3310266,19:21:37,2008-05-17,19:21:37
009,39.9723466,116.3252849,13:19:10,2008-05-18,13:19:10
010,39.975078,116.331804,13:10:36,2008-08-01,13:10:36
011,39.868761,116.509127,14:42:24,2008-10-13,14:42:24
011,39.868314,116.537318,14:59:46,2008-10-13,14:59:46
011,39.905802,116.267446,10:11:50,2008-10-16,10:11:50
011,39.882304,116.269494,10:31:00,2008-10-16,10:31:00
011,39.932302,116.454149,14:34:11,2008-10-11,14:34:11
011,39.902637,116.267412,14:21:45,2008-11-28,14:21:45
011,39.932403,116.429843,15:19:54,2008-07-22,15:19:54
011,39.898039,116.339781,16:40:00,2008-09-25,16:40:00
011,34.277877,108.956543,07:10:20,2008-09-26,07:10:20
011,34.246026,108.920766,17:34:11,2008-09-30,17:34:11
011,39.863378,116.41532,09:04:01,2008-08-21,09:04:01
011,18.252684,109.499885,14:32:18,2008-08-28,14:32:18
011,39.132283,117.191712,12:21:43,2008-09-01,12:21:43
011,39.116723,117.152967,13:16:07,2008-09-01,13:16:07
011,39.113476,117.165457,14:16:18,2008-09-01,14:16:18
011,39.135703,117.184446,16:51:38,2008-09-01,16:51:38
011,39.974003,116.348363,14:14:58,2008-09-13,14:14:58
011,39.932403,116.429843,15:19:54,2008-07-22,15:19:54
012,39.918724,116.268671,15:38:36,2008-05-17,15:38:36
012,39.983161,116.330763,09:37:36,2008-10-25,09:37:36
012,39.885238,116.41375,13:14:30,2008-12-02,13:14:30
012,39.924474,116.418501,14:51:05,2008-12-02,14:51:05
012,39.97514,116.329704,20:00:59,2009-08-26,20:00:59
012,39.909876,116.302844,10:56:48,2009-07-31,10:56:48
012,39.975674,116.33918,19:43:34,2009-09-09,19:43:34
012,39.976214,116.32991,19:42:22,2009-09-16,19:42:22
012,39.975126,116.328976,19:41:33,2009-09-23,19:41:33
012,39.97514,116.329704,20:00:59,2009-08-26,20:00:59
012,39.932212,116.427528,15:20:28,2008-07-22,15:20:28
013,39.93936,116.4303549,09:01:05,2007-12-14,09:01:05
013,39.975585,116.3307533,12:16:07,2007-12-25,12:16:07
021,39.970176,116.418262,22:38:48,2008-07-31,22:38:48
021,39.994484,116.32649,16:48:29,2008-08-02,16:48:29
021,39.976041,116.418097,23:32:53,2008-08-02,23:32:53
021,39.821801,119.48627,09:46:53,2008-08-09,09:46:53
021,39.850403,119.416543,18:49:29,2008-08-09,18:49:29
021,39.817901,119.498623,11:14:37,2008-08-10,11:14:37
021,39.974449,116.346825,13:03:30,2008-10-11,13:03:30
021,39.974449,116.346825,13:03:30,2008-10-11,13:03:30
021,39.9843216,116.3266433,22:33:12,2008-05-28,22:33:12
021,39.9679933,116.3472199,23:11:01,2008-07-18,23:11:01
021,39.97861,116.4185049,16:11:34,2008-05-03,16:11:34
022,39.9755416,116.3308583,13:30:51,2008-05-16,13:30:51
022,39.9882783,116.1969033,17:24:43,2008-05-16,17:24:43
022,39.9247,116.3046083,21:14:58,2008-07-07,21:14:58
022,39.797615,119.4216633,12:29:23,2008-08-12,12:29:23
022,39.9842683,116.3270666,21:49:39,2008-09-08,21:49:39
022,39.9752883,116.3283566,13:13:44,2008-09-22,13:13:44
022,39.8549583,116.3936399,09:56:08,2008-09-30,09:56:08
022,39.9859433,116.3620816,22:14:07,2008-10-09,22:14:07
022,39.9843733,116.3287099,22:52:12,2008-10-20,22:52:12
022,39.9752166,116.3303833,12:51:19,2008-11-05,12:51:19
022,39.9763199,116.3309299,22:04:39,2008-11-05,22:04:39
022,39.9795833,116.3274866,20:28:15,2008-11-30,20:28:15
022,39.9777233,116.3272833,22:34:53,2008-12-03,22:34:53
022,39.9856616,116.3489916,23:32:48,2008-12-04,23:32:48
022,39.9858883,116.3668066,22:01:24,2009-02-21,22:01:24
022,40.0795549,116.35332,08:01:16,2009-02-22,08:01:16
022,47.6277982,-122.1425383,08:32:52,2009-03-05,08:32:52
022,39.9618266,116.3036983,16:20:38,2009-03-18,16:20:38
022,39.96963,116.3324999,15:00:15,2009-03-19,15:00:15
022,39.9480383,116.4196999,10:49:31,2009-03-24,10:49:31
022,39.9820883,116.3275599,22:35:35,2009-04-02,22:35:35
026,34.2576333333333,108.942466666667,16:07:56,2007-09-04,16:07:56
026,34.2475833333333,108.91905,22:24:53,2007-09-04,22:24:53
026,34.2427333333333,108.9137,22:59:06,2007-09-04,22:59:06
026,34.2412,108.934433333333,13:27:17,2007-09-05,13:27:17
027,39.966065,116.344287,20:35:55,2008-10-01,20:35:55
027,39.926794,116.472156,16:44:10,2008-10-05,16:44:10
027,39.93233,116.473376,14:03:30,2008-10-12,14:03:30
027,39.9271895166667,116.472133366667,22:50:27,2008-10-12,22:50:27
027,39.975595,116.33058415,22:39:57,2008-10-17,22:39:57
027,39.975531,116.330539,22:04:44,2008-09-27,22:04:44
027,39.975392,116.330592,22:16:01,2008-09-29,22:16:01
027,39.92726,116.472255,10:45:33,2008-10-01,10:45:33
027,39.9273916833333,116.472094566667,21:31:58,2008-10-26,21:31:58
027,39.9755487,116.330646083333,21:41:11,2008-10-28,21:41:11
027,39.966065,116.344287,20:35:55,2008-10-01,20:35:55
027,39.9306410166667,116.4705393,06:50:00,2008-11-04,06:50:00
027,39.9086738833333,116.367689666667,21:49:19,2008-11-24,21:49:19
027,39.966168,116.358797,19:26:17,2008-10-25,19:26:17
027,39.975657,116.330768,21:41:11,2008-10-28,21:41:11
027,39.908859,116.368302,21:49:19,2008-11-24,21:49:19
027,39.975227,116.331071,21:17:26,2008-11-25,21:17:26
027,39.9271765666667,116.472122216667,17:14:05,2008-11-29,17:14:05
027,39.97485015,116.3397439,16:23:34,2008-12-05,16:23:34
027,39.9079265666667,116.471864816667,20:58:01,2008-12-05,20:58:01
027,39.960746,116.49038,10:16:31,2008-12-06,10:16:31
027,39.976316,116.330728,17:04:17,2008-08-08,17:04:17
027,39.975626,116.331007,21:04:28,2008-08-15,21:04:28
027,39.877173,116.483151,15:24:20,2008-08-17,15:24:20
027,39.966045,116.344309,21:27:38,2008-08-20,21:27:38
027,39.9086,116.471707,08:02:28,2008-08-28,08:02:28
027,39.927283,116.472229,10:31:47,2008-08-31,10:31:47
027,39.975134,116.32947,21:51:27,2008-08-31,21:51:27
027,39.914687,116.465027,12:27:53,2009-02-14,12:27:53
027,39.947789,116.466159,16:28:33,2009-02-15,16:28:33
027,39.937381,116.455091,12:19:57,2009-04-06,12:19:57
027,39.926992,116.472009,09:35:09,2009-07-11,09:35:09
027,39.990622,116.450868,20:05:59,2009-07-14,20:05:59
027,39.988868,116.445166,16:59:02,2009-08-20,16:59:02
027,39.932388,116.478808,08:36:04,2009-08-22,08:36:04
027,39.985193,116.450726,13:11:43,2009-08-22,13:11:43
027,39.927209,116.472273,08:56:52,2009-08-23,08:56:52
027,39.9855,116.450179,10:22:09,2009-08-23,10:22:09
027,39.985384,116.450757,17:44:00,2009-08-23,17:44:00
027,39.947712,116.388949,23:21:52,2009-08-28,23:21:52
027,39.927176,116.472596,10:20:28,2009-08-29,10:20:28
027,39.987401,116.431294,14:50:53,2009-08-29,14:50:53
027,39.927063,116.471967,09:32:18,2009-08-30,09:32:18
027,39.975305,116.329298,18:38:52,2009-08-30,18:38:52
027,39.926992,116.472009,09:35:09,2009-07-11,09:35:09
027,39.917432,116.444487,19:02:45,2009-06-20,19:02:45
027,39.932469,116.469509,11:00:11,2009-06-21,11:00:11
027,39.932311,116.44912,16:53:22,2009-06-21,16:53:22
027,32.9725733,114.0185249,11:19:30,2008-05-02,11:19:30
027,32.972585,114.0142849,08:48:51,2008-05-09,08:48:51
027,39.895305,116.31659,16:16:46,2008-05-09,16:16:46
027,39.9322133,116.4741516,15:19:24,2008-05-10,15:19:24
027,39.907365,116.4717033,08:55:20,2008-05-12,08:55:20
027,39.9100583,116.4717416,09:00:04,2008-05-13,09:00:04
027,39.9539433,116.4618966,22:24:42,2008-05-13,22:24:42
027,39.9273066,116.4722133,08:46:23,2008-05-14,08:46:23
027,39.9532083,116.4619199,22:21:31,2008-05-14,22:21:31
027,39.9104683,116.4718316,09:01:37,2008-05-15,09:01:37
027,39.9504583,116.4621983,21:27:37,2008-05-15,21:27:37
027,39.9294466,116.4720883,08:58:11,2008-05-16,08:58:11
027,39.9757816,116.3311733,18:55:39,2008-05-17,18:55:39
027,39.9754283,116.3305099,15:28:58,2008-05-24,15:28:58
027,39.9325483,116.4613466,13:48:14,2008-06-01,13:48:14
027,39.9310632,116.4724366,16:49:16,2008-06-08,16:49:16
027,39.9918433,116.4624083,15:41:48,2008-06-15,15:41:48
027,39.9278783,116.4719566,18:34:50,2008-06-18,18:34:50
027,39.9752933,116.3310783,21:51:10,2008-06-19,21:51:10
027,39.9273433,116.4722733,09:31:37,2008-06-22,09:31:37
027,39.9662899,116.3436616,21:30:49,2008-06-22,21:30:49
027,39.9087899,116.411595,21:04:30,2008-06-24,21:04:30
027,39.9664816,116.34424,10:13:55,2008-06-28,10:13:55
027,39.9661916,116.3387833,21:57:54,2008-06-28,21:57:54
027,39.927123,116.47219,16:51:46,2008-05-17,16:51:46
027,39.975296,116.330291,20:51:22,2008-07-12,20:51:22
027,39.975247,116.330842,21:02:25,2008-07-13,21:02:25
027,39.975557,116.330865,22:46:50,2008-07-19,22:46:50
027,39.966163,116.34434,21:59:21,2008-07-23,21:59:21
027,31.2602,121.4448,13:36:43,2007-07-26,13:36:43
027,30.2499166666667,120.1657,18:33:47,2007-07-26,18:33:47
027,30.2319,120.14785,17:13:51,2007-07-27,17:13:51
027,39.9034,116.421516666667,07:05:47,2007-07-29,07:05:47
029,39.9743166666667,116.327566666667,22:48:55,2007-04-13,22:48:55
029,39.9752166666667,116.3278,23:09:11,2007-04-19,23:09:11
030,31.5919749,120.3074533,10:01:42,2008-06-29,10:01:42
030,31.5816083,120.3070133,18:09:55,2008-07-01,18:09:55
030,31.5783549,120.2991933,22:02:04,2008-07-01,22:02:04
030,31.5913883,120.3087066,17:56:01,2008-07-03,17:56:01
030,31.5748033,120.2994016,20:27:22,2008-07-03,20:27:22
030,31.5834383,120.3006883,21:31:36,2008-07-09,21:31:36
030,31.5759866,120.2989849,21:39:37,2008-07-10,21:39:37
030,31.5924582,120.3053499,17:08:06,2008-07-14,17:08:06
030,31.5869766,120.3164983,21:48:28,2008-07-14,21:48:28
030,31.5819799,120.3080749,12:09:38,2008-07-19,12:09:38
030,31.5784366,120.2989233,20:22:39,2008-07-19,20:22:39
030,31.584765,120.3227683,13:01:33,2008-07-20,13:01:33
030,31.580015,120.3036483,20:04:56,2008-07-21,20:04:56
031,39.978339,116.418199,16:11:34,2008-05-03,16:11:34
031,39.974695,116.333347,12:13:32,2008-05-05,12:13:32
031,39.952634,116.31792,13:33:20,2008-05-05,13:33:20
031,39.975517,116.327379,22:34:04,2008-05-18,22:34:04
031,39.968953,116.418695,23:41:52,2008-05-22,23:41:52
031,39.929372,116.361553,07:36:03,2008-06-07,07:36:03
031,39.967889,116.418693,23:50:51,2008-06-09,23:50:51
031,39.986604,116.382935,00:00:00,2008-06-10,00:00:00
031,39.995385,116.326429,08:26:29,2008-06-12,08:26:29
031,39.987064,116.407571,07:53:41,2008-06-20,07:53:41
031,39.983435,116.328161,08:32:53,2008-06-25,08:32:53
031,39.991295,116.327246,12:48:17,2008-06-25,12:48:17
031,39.985209,116.327149,22:06:57,2008-06-25,22:06:57
031,39.967859,116.418415,22:30:56,2008-07-25,22:30:56
031,39.97032,116.418508,22:38:52,2008-07-31,22:38:52
031,39.994484,116.32649,16:48:29,2008-08-02,16:48:29
031,39.976041,116.418097,23:32:53,2008-08-02,23:32:53
031,39.821801,119.48627,09:46:53,2008-08-09,09:46:53
031,39.850403,119.416543,18:49:29,2008-08-09,18:49:29
031,39.817901,119.498623,11:14:37,2008-08-10,11:14:37
031,39.915036,116.444191,20:45:31,2008-08-20,20:45:31
031,39.946388,116.467417,23:15:39,2008-08-20,23:15:39
031,39.981165,116.307359,23:24:02,2008-08-25,23:24:02
031,39.975175,116.347036,11:56:31,2008-08-31,11:56:31
031,39.97577,116.330717,11:54:38,2008-09-19,11:54:38
031,39.974449,116.346825,13:03:30,2008-10-11,13:03:30
031,39.971149,116.418578,22:57:43,2008-11-26,22:57:43
031,39.9752495166667,116.330195583333,16:45:23,2009-05-16,16:45:23
031,39.9605828666667,116.412084533333,14:21:54,2009-05-18,14:21:54
031,39.9713258166667,116.421730916667,22:59:30,2009-05-18,22:59:30
031,39.9665246833333,116.351446433333,22:26:09,2009-05-23,22:26:09
031,39.969592,116.420915,22:57:56,2008-05-12,22:57:56
032,40.083636,116.320935,17:11:06,2008-11-07,17:11:06
